,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,title,source,year,month,day
0,0,0,0,0,2018 NESO北京赛区电子竞技选拔赛开启,新浪体育,2018,11,14
1,1,1,1,1,我儿子2007年出生，他现在的愿望是考入清华大学电子竞技系,新浪育儿,2018,11,10
2,2,2,2,2,调查显示一部更大的手机可以帮助你赢得电子竞技锦标赛,cnbeta,2018,10,12
3,3,3,3,3,演绎传统体育与电子竞技的《傲慢与偏见》——RNG跑团,新浪体育,2018,9,29
4,4,4,4,4,新华社电子竞技调研之三：电竞=电子游戏吗？,新华社,2018,9,27
5,5,5,5,5,新华社电子竞技调研之二：“巨大吸引力”与“上瘾”,新华社,2018,9,27
6,6,6,6,6,电子竞技入亚分歧远未停止 未成年人谁来保障？,新华社,2018,9,27
7,7,7,7,7,2018省高校电子竞技联赛10月将决战南京,扬子晚报网,2018,9,19
8,8,8,8,8,快讯：电子竞技板块异动拉升 天神娱乐逼近涨停,新浪财经,2018,9,12
9,9,9,9,9,亚运中国十大亮点：农民成为冠军 电子竞技引热潮,体育综合,2018,9,5
10,10,10,10,10,奥委会主席巴赫：电子竞技除非移除暴力元素，否则不能入奥,新浪财经,2018,9,3
